id,標題,分層,證型_條目,題幹,題目顯示,答案,來源頁,確認狀態
WB001,風溫,邪在衛分,風邪襲肺,但咳，身不甚熱，口微渴等。,風溫-但咳，身不甚熱，口微渴等。,桑菊飲,PDF第6頁,
WB002,風溫,邪在衛分,風溫客表,發熱，微惡風寒，無汗或少汗，頭痛，咳嗽，口微渴，苔薄白，舌邊尖紅，脈浮數。,風溫-發熱，微惡風寒，無汗或少汗，頭痛，咳嗽，口微渴，苔薄白，舌邊尖紅，脈浮數。,銀翹散,PDF第6頁,
WB003,風溫,邪在氣分,熱鬱胸膈,身熱，心煩懊憹，坐臥不安，舌苔微黃。,風溫-身熱，心煩懊憹，坐臥不安，舌苔微黃。,梔子豉湯,PDF第6頁,
WB004,風溫,邪在氣分,邪熱壅肺,身熱、汗出，煩渴，咳喘，咯痰不爽，舌紅苔黃，脈滑數。,風溫-身熱、汗出，煩渴，咳喘，咯痰不爽，舌紅苔黃，脈滑數。,麻杏石甘湯,PDF第6頁,
WB005,風溫,邪在氣分,痰熱阻肺，腑有熱結,潮熱便祕，痰涎湧盛，喘促不寧，苔黃膩或黃滑，脈右寸實大。,風溫-潮熱便祕，痰涎湧盛，喘促不寧，苔黃膩或黃滑，脈右寸實大。,宣白承氣湯,PDF第6頁,
WB006,風溫,邪在氣分,痰熱結胸,身熱面赤，渴欲涼飲，飲不解渴，得水則嘔，胸脘痞滿，按之疼痛。便秘，苔黃滑，脈洪滑。,風溫-身熱面赤，渴欲涼飲，飲不解渴，得水則嘔，胸脘痞滿，按之疼痛。便秘，苔黃滑，脈洪滑。,小陷胸加枳實湯,PDF第6頁,
WB007,風溫,邪在氣分,熱阻胸膈，微兼腑實,身熱不已，煩躁不安，胸膈灼熱如焚，唇焦咽燥，口渴，便秘，舌心乾四邊色紅，苔或黃或白，脈浮滑而數。,風溫-身熱不已，煩躁不安，胸膈灼熱如焚，唇焦咽燥，口渴，便秘，舌心乾四邊色紅，苔或黃或白，脈浮滑而數。,涼膈散,PDF第6頁,
WB008,風溫,邪入陽明,無形熱盛（陽明經證）,壯熱面赤，惡熱、心煩、大汗出，苔黃而燥，渴喜涼飲，脈形洪大，按之愈盛。,風溫-壯熱面赤，惡熱、心煩、大汗出，苔黃而燥，渴喜涼飲，脈形洪大，按之愈盛。,白虎湯,PDF第6頁,
WB009,風溫,邪入陽明,有形熱結（陽明腑證）,日晡潮熱，濈濈汗出，時有譫語，大便秘結，或純利惡臭稀水，肛門灼熱，腹部脹滿硬痛或拒按，苔老黃而燥，甚則灰黑而燥裂，脈沉有力。,風溫-日晡潮熱，濈濈汗出，時有譫語，大便秘結，或純利惡臭稀水，肛門灼熱，腹部脹滿硬痛或拒按，苔老黃而燥，甚則灰黑而燥裂，脈沉有力。,調胃承氣湯,PDF第7頁,
WB010,風溫,邪入陽明,肺熱移腸,身熱，咳嗽，口渴，下利色黃熱臭，肛門灼熱，腹不硬痛，苔黃，脈數。,風溫-身熱，咳嗽，口渴，下利色黃熱臭，肛門灼熱，腹不硬痛，苔黃，脈數。,葛根黃芩黃連湯,PDF第7頁,
