id,category,page,prompt,law_basis,note
traffic_law_choice-001,traffic_law_choice,2,汽車在隧道內行駛時,道路交通安全規則第109條,夜間及隧道燈光使用規則
traffic_law_choice-002,traffic_law_choice,2,夜間跟隨前車行駛之車輛,道路交通安全規則第109條,夜間及隧道燈光使用規則
traffic_law_choice-004,traffic_law_choice,2,汽車在夜間行經市區照明情況良好處應該,道路交通安全規則第109條,夜間及隧道燈光使用規則
traffic_law_choice-008,traffic_law_choice,2,在內側車道行駛之汽車，利用外側車道超車,道路交通安全規則第98條,同向多車道路段車道使用規則
traffic_law_choice-018,traffic_law_choice,3,行車至交岔路口，並已越過停止線，如果黃燈亮了，應該,道路交通安全規則第102條,交岔路口轉彎、號誌、指揮與讓車規則
traffic_law_choice-019,traffic_law_choice,3,跟前車行到鐵路平交道前應該,道路交通安全規則第104條,平交道通過規則
traffic_law_choice-039,traffic_law_choice,4,夜間行車交會，對方不變換近光燈時，應如何處理,道路交通安全規則第109條,夜間及隧道燈光使用規則
traffic_law_choice-041,traffic_law_choice,4,載運危險物品車輛是否可進入八卦山或雪山隧道內,道路交通安全規則第84條,危險物品裝載及警示規定
traffic_law_choice-043,traffic_law_choice,5,長隧道內設置停車彎，其目的是供,高速公路及快速公路交通管制規則第16條,長隧道行駛、安全距離與事故處置
traffic_law_choice-044,traffic_law_choice,5,汽車行駛於長隧道內,高速公路及快速公路交通管制規則第16條,長隧道行駛、安全距離與事故處置
traffic_law_choice-045,traffic_law_choice,5,汽車進入長隧道遇火災發生時，應熄火停車,高速公路及快速公路交通管制規則第16條,長隧道行駛、安全距離與事故處置
traffic_law_choice-046,traffic_law_choice,5,汽車行駛於長隧道遇前方火災發生時，其逃生原則,高速公路及快速公路交通管制規則第16條,長隧道行駛、安全距離與事故處置
traffic_law_choice-047,traffic_law_choice,5,長隧道之車行聯絡隧道(車行橫坑),高速公路及快速公路交通管制規則第16條,長隧道行駛、安全距離與事故處置
traffic_law_choice-048,traffic_law_choice,5,長隧道內若前方發生火災時，為降低火災產生黑煙之危害，逃生時如何方能避免濃煙、高溫擴散危害,高速公路及快速公路交通管制規則第16條,長隧道行駛、安全距離與事故處置
traffic_law_choice-051,traffic_law_choice,5,學習駕駛證之學習駕車有效期間，自領證日起以幾年為限,道路交通安全規則第56條；道路交通安全規則第57條,學習駕駛證之使用範圍；申請學習駕駛證之資格
traffic_law_choice-055,traffic_law_choice,5,汽車駕駛人，允許無駕駛執照之人，駕駛其車輛者應處罰,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-056,traffic_law_choice,5,汽車駕駛人駕駛汽車肇事致人受傷或死亡，應即時處理，如肇事致人重傷或死亡而逃逸者,道路交通事故處理辦法第3條；道路交通管理處罰條例第62條,事故現場警示、救護、標繪與移置規則；無人傷亡事故未依規定處置或未標繪移置之處罰
traffic_law_choice-058,traffic_law_choice,6,報考職業駕照者，各科及格成績,道路交通安全規則第60條,考領各級駕照之資格與年齡
traffic_law_choice-060,traffic_law_choice,6,職業駕駛執照自發照之日起每滿幾年審驗1 次,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-061,traffic_law_choice,6,學習駕駛證，以學習什麼車為限,道路交通安全規則第56條；道路交通安全規則第57條,學習駕駛證之使用範圍；申請學習駕駛證之資格
traffic_law_choice-062,traffic_law_choice,6,領有小型車普通駕駛執照，可以駕駛,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-064,traffic_law_choice,6,汽車行駛於道路上哪些人需繫安全帶,道路交通安全規則第89條；道路交通管理處罰條例第31條,安全帶與起駛前安全檢查；未繫安全帶、兒童乘坐安全及留置車內之處罰
traffic_law_choice-067,traffic_law_choice,6,領有學習駕駛證者應在何處學習駕駛,道路交通安全規則第56條；道路交通安全規則第57條,學習駕駛證之使用範圍；申請學習駕駛證之資格
traffic_law_choice-069,traffic_law_choice,6,汽車行駛至交岔路口欲轉彎時，應距交岔路口多少公尺前顯示方向燈,道路交通安全規則第91條；道路交通安全規則第102條,起駛、轉彎、變換車道之燈光或手勢；交岔路口左右轉與車道使用
traffic_law_choice-070,traffic_law_choice,6,駕駛執照破爛損毀不易辨明時，要,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-071,traffic_law_choice,6,汽車駕駛人將駕駛執照借供他人駕車者，應處罰,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-072,traffic_law_choice,6,汽車駕駛人使用偽造、變造或矇領之駕駛執照駕車者，應處,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-073,traffic_law_choice,6,駕駛執照遺失後應,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-075,traffic_law_choice,7,汽車顏色、燃料種類等，有變更時，應,道路交通安全規則第23條；道路交通安全規則第24條,車輛異動登記項目；車籍、所有人或地址等變更登記
traffic_law_choice-077,traffic_law_choice,7,自用小客車領有牌照，其出廠年份未滿幾年者，免予定期檢驗,道路交通管理處罰條例第12條,牌照、號牌、報廢車、拼裝車或冒用牌照上路之處罰
traffic_law_choice-078,traffic_law_choice,7,因患病、出國等事由，職業駕駛執照未能按時審驗時，可持原照及有關證明，向當地公路監理機關申請補辦審驗，但須在病癒或回國後,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-080,traffic_law_choice,7,領有汽車學習駕駛證，學習路線駕駛時，應由領有學習車類駕照之駕駛人，在旁指導監護,道路交通安全規則第56條；道路交通安全規則第57條,學習駕駛證之使用範圍；申請學習駕駛證之資格
traffic_law_choice-081,traffic_law_choice,7,申請報考職業駕駛執照，最高年齡不得超過,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-082,traffic_law_choice,7,考領普通駕駛執照，最高年齡,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-083,traffic_law_choice,7,應考小型車普通駕駛執照者，須有學習駕駛多少時間之經歷,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-084,traffic_law_choice,7,應考小型車職業駕駛執照者，須有學習駕駛經歷,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-085,traffic_law_choice,7,駕駛人姓名、出生年月日、住址等有變更時，如何處理,道路交通安全規則第23條；道路交通安全規則第24條,車輛異動登記項目；車籍、所有人或地址等變更登記
traffic_law_choice-086,traffic_law_choice,7,駕駛執照受吊銷、註銷或吊扣處分時應如何處理,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-089,traffic_law_choice,8,癲癇疾病患者，檢具醫療院所醫師出具最近二年以上未發作診斷證明書者,道路交通安全規則第64條,體格檢查與健康條件
traffic_law_choice-090,traffic_law_choice,8,受吊扣、吊銷駕駛執照之處分，尚未期滿者,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
traffic_law_choice-091,traffic_law_choice,8,駕駛執照遺失時,道路交通安全規則第89條,起駛前安全檢查與證件攜帶規定
