id,category,page,prompt
traffic_law_choice-003,traffic_law_choice,2,汽車駕駛人最重要的是
traffic_law_choice-005,traffic_law_choice,2,當我車前燈遠光將要照射到來車駕駛人眼睛前，應
traffic_law_choice-006,traffic_law_choice,2,乘客遺留財物在車上，應
traffic_law_choice-007,traffic_law_choice,2,客車上下乘客應在
traffic_law_choice-009,traffic_law_choice,2,汽車駕駛人對乘客或貨主最優良的服務是安全、舒適、快捷，如果三者難以兼顧時，應以何者為優先
traffic_law_choice-010,traffic_law_choice,2,汽車駕駛人的守法是為了
traffic_law_choice-011,traffic_law_choice,2,汽車駕駛人見到其他車輛或行人不良的表現，就會逞強好勝，意氣用事，性情暴躁，容易衝動，要如何去克制自己
traffic_law_choice-012,traffic_law_choice,2,汽車駕駛人駕車行經交通混亂繁雜的地方，或道路施工地段應
traffic_law_choice-013,traffic_law_choice,2,汽車油箱加油時
traffic_law_choice-014,traffic_law_choice,2,車輛行駛時，乘客頭手
traffic_law_choice-015,traffic_law_choice,3,汽車駕駛人若想維持良好交通秩序，促進社會安全與家庭幸福應具有
traffic_law_choice-016,traffic_law_choice,3,汽車駕駛人應
traffic_law_choice-017,traffic_law_choice,3,我是優良駕駛員，隨時隨地遵守交通規則，希望(交通)警察為了交通安全，對於違規駕駛人應
traffic_law_choice-020,traffic_law_choice,3,基於行車安全，作為一個汽車駕駛人，要重視
traffic_law_choice-021,traffic_law_choice,3,汽車駕駛人要確保自己和他人的安全，日常應在道德修養上下功夫，盡量
traffic_law_choice-022,traffic_law_choice,3,在駕車時，如發現有人牽著動物橫越道路時應
traffic_law_choice-023,traffic_law_choice,3,駕車行經泥濘或積水地段正有行人行走時應
traffic_law_choice-024,traffic_law_choice,3,汽車行駛於道路時，駕駛人
traffic_law_choice-025,traffic_law_choice,3,在狹路與他車交會時應
traffic_law_choice-026,traffic_law_choice,3,遇老弱婦孺身心障礙者乘搭客車時應
traffic_law_choice-027,traffic_law_choice,3,在行車途中，如目睹發生車禍，你應該
traffic_law_choice-028,traffic_law_choice,4,在行車途中，精神疲勞稍有睡意，你應該怎麼辦
traffic_law_choice-029,traffic_law_choice,4,在雙向二車道上〝欲〞超越前行車，發現對向有來車，你應該
traffic_law_choice-030,traffic_law_choice,4,雨天行車通過泥濘道路，輪胎發生打滑現象，你應該
traffic_law_choice-031,traffic_law_choice,4,行車中，發覺煞車失靈應
traffic_law_choice-032,traffic_law_choice,4,在哪種情形下，車輛可從公路行車分向線左邊行駛
traffic_law_choice-033,traffic_law_choice,4,在深夜郊外道路上，空曠無車無人的情況下
traffic_law_choice-034,traffic_law_choice,4,汽車行經泥濘或積水路段，應
traffic_law_choice-035,traffic_law_choice,4,行駛前發現煞車或方向盤失靈，駕駛人應
traffic_law_choice-040,traffic_law_choice,4,駕駛人在高速行車狀況下，生理上對於緊急事件之處理
traffic_law_choice-042,traffic_law_choice,4,汽車行駛於公路時，從車內向外拋擲物品、煙蒂或火種
traffic_law_choice-049,traffic_law_choice,5,小客車係指座位在
traffic_law_choice-050,traffic_law_choice,5,汽車定期檢驗，逾期一個月以上者，應處罰
traffic_law_choice-054,traffic_law_choice,5,小貨車必須附載隨車作業人員者，除駕駛人外，不得超過
traffic_law_choice-057,traffic_law_choice,5,營業車(營業大客車除外)每年檢驗次數，應為
traffic_law_choice-059,traffic_law_choice,6,汽車檢驗分3 種
traffic_law_choice-063,traffic_law_choice,6,工程或公用事業機構人員，佩帶服務單位證章，或其他明顯識別標記，搭乘小型貨車，不得超過
traffic_law_choice-066,traffic_law_choice,6,號誌是管制
traffic_law_choice-068,traffic_law_choice,6,領有普通駕照，駕駛營業車輛營業者是
traffic_law_choice-074,traffic_law_choice,7,以駕駛汽車為職業者是
traffic_law_choice-076,traffic_law_choice,7,計程車車窗玻璃上
traffic_law_choice-087,traffic_law_choice,7,託人代考駕照者，單就報考人之處分為
traffic_law_choice-088,traffic_law_choice,7,酒精、麻醉劑及興奮劑中毒者
traffic_law_choice-096,traffic_law_choice,8,在行車時速40 公里之路段汽車拋錨無法移置時
traffic_law_choice-098,traffic_law_choice,8,汽車載運乘客
traffic_law_choice-112,traffic_law_choice,9,汽車載運危險品行駛
traffic_law_choice-113,traffic_law_choice,9,貨車裝載體積或長度非框式車廂所能容納之貨物，其伸後長度最多不得超過車輛全長
traffic_law_choice-114,traffic_law_choice,9,行車速度，依速限標誌或標線之規定，無標誌或標線者，行車時速不得超過50 公里。但在未劃設車道線、行車分向線或分向限制線之道路，時速不得超過
traffic_law_choice-120,traffic_law_choice,9,在同向二車道以上之道路，小型車應行駛於
traffic_law_choice-121,traffic_law_choice,9,裝載貨物在同一汽車時，重的貨物應放在
traffic_law_choice-123,traffic_law_choice,10,汽車非經公路監理機關核准
traffic_law_choice-127,traffic_law_choice,10,汽車駕駛人駕車
traffic_law_choice-129,traffic_law_choice,10,汽車駛近學校、醫院等處時
traffic_law_choice-130,traffic_law_choice,10,汽車按鳴喇叭規定
traffic_law_choice-131,traffic_law_choice,10,汽車按鳴喇叭時間，每次
traffic_law_choice-132,traffic_law_choice,10,汽車行駛在設有彎道、坡路、狹路標誌之路段，應該
traffic_law_choice-133,traffic_law_choice,10,汽車行經設有學校、醫院標誌之路段，應該
traffic_law_choice-134,traffic_law_choice,10,汽車在同一車道行駛時，後車與前車之間，應保持
traffic_law_choice-135,traffic_law_choice,10,汽車除行駛在單行道或指定行駛於左側車道外，在未劃行車分向線或分向限制線之道路，應
traffic_law_choice-136,traffic_law_choice,10,汽車遇有特殊情況，必須行駛道路左側時，應該
traffic_law_choice-139,traffic_law_choice,11,在市區交通頻繁之道路
traffic_law_choice-142,traffic_law_choice,11,聞有消防車、救護車、警備車、工程救險車、毒性化學物質災害事故應變車等之警號時，不論來自何方，應
traffic_law_choice-146,traffic_law_choice,11,下坡行車時應
traffic_law_choice-147,traffic_law_choice,11,汽車在雙向二車道並劃有分向限制線之路段
traffic_law_choice-149,traffic_law_choice,11,汽車變換車道時，應先
traffic_law_choice-151,traffic_law_choice,11,汽車行駛中遇濃霧，應該
traffic_law_choice-155,traffic_law_choice,12,汽車引擎、底盤、電系、車門損壞，不堪使用時，應
traffic_law_choice-156,traffic_law_choice,12,利用汽車犯罪經判決有期徒刑以上之刑確定者
traffic_law_choice-157,traffic_law_choice,12,汽車發生交通事故遭受重大損壞，經修復後應實施
traffic_law_choice-158,traffic_law_choice,12,計程車駕駛人不依規定辦理執業登記並領取登記證即行執業者
traffic_law_choice-162,traffic_law_choice,12,汽車因故辦理停駛，期限最多不得超過
traffic_law_choice-171,traffic_law_choice,13,計程車駕駛人在營業之前，應
traffic_law_choice-173,traffic_law_choice,13,汽車駕駛人在1 年內違規記點每達12 點以上者，除施以道安講習，並處
traffic_law_choice-174,traffic_law_choice,13,汽車記違規紀錄於3 個月內共達3 次以上者，處罰
traffic_law_choice-176,traffic_law_choice,13,違反道路交通管理事件之受處分人，如不服處罰機關所作之處罰者 ，可以
traffic_law_choice-177,traffic_law_choice,13,下列那些車輛應隨車配備合於規定之滅火器
traffic_law_choice-178,traffic_law_choice,13,下列何種車輛應配置防止捲入裝置
traffic_law_choice-188,traffic_law_choice,14,遇幼童專用車、校車不依規定禮讓，或減速慢行者，除記違規點數外，並處
traffic_law_choice-189,traffic_law_choice,14,於身心障礙專用停車位違規停車者
traffic_law_choice-200,traffic_law_choice,15,駕駛人因違規而被處罰鍰並記違規記點以後應
traffic_law_choice-202,traffic_law_choice,15,占用道路之廢棄車輛，經民眾檢舉或由警察機關、環境保護主管機關查報後，由警察機關通知車主限期處理而屆期未清理者
traffic_law_choice-203,traffic_law_choice,15,占用道路之廢棄車輛，由環保單位或委託民間單位移置保管，經公告多久無人認領，可依廢棄物清除
traffic_law_choice-204,traffic_law_choice,15,逕行舉發汽車超速行駛時，其違規地點相距
traffic_law_choice-206,traffic_law_choice,16,小客車前座或貨車駕駛室乘人超過規定人數者，處汽車駕駛人
traffic_law_choice-210,traffic_law_choice,16,汽車駕駛人，在快車道上依規定行駛，因行人或慢車不依規定，擅自進入快車道，而致人受傷或死亡，依法應負刑事責任者
traffic_law_choice-211,traffic_law_choice,16,受處分人，如有不服處罰之裁決者，應以原處分機關為被告，逕向管轄之高等行政法院地方行政訴訟庭提起訴訟；其中撤銷訴訟之提起，應於裁決書送達後
traffic_law_choice-220,traffic_law_choice,17,違規停車經舉發後仍未改正，每逾
traffic_law_choice-221,traffic_law_choice,17,逕行舉發汽車超速行駛時，其
traffic_law_choice-222,traffic_law_choice,17,汽車駕駛人違規併排停車將處罰鍰新臺幣
traffic_law_choice-228,traffic_law_choice,17,行車在高速或快速公路交流道上
traffic_law_choice-229,traffic_law_choice,17,行駛高速或快速公路
traffic_law_choice-230,traffic_law_choice,17,高速或快速公路匝道上速度限制每小時為
traffic_law_choice-231,traffic_law_choice,17,在高速公路最高速限每小時90 公里以上之路段，行駛速率低於每小時
